Model,Features,Sampling,Accuracy,F1-Score,Precision,Recall
KNN,TFIDF,smote,0.2882,0.3976,0.2519,0.9422
KNN,BERT,smote,0.3156,0.4085,0.2603,0.948
KNN,ROBERTA,smote,0.3314,0.4185,0.2672,0.9653
KNN,DISTILBERT,smote,0.3545,0.3995,0.26,0.8613
Naive Bayes,TFIDF,baseline,0.7507,0.0226,0.5,0.0116
Naive Bayes,BERT,baseline,0.5778,0.3934,0.3065,0.5491
Naive Bayes,ROBERTA,baseline,0.562,0.4391,0.3225,0.6879
Naive Bayes,DISTILBERT,baseline,0.6023,0.439,0.3386,0.6243
Naive Bayes,TFIDF,under_sampling,0.5245,0.3478,0.2643,0.5087
Naive Bayes,BERT,under_sampling,0.5303,0.4073,0.2971,0.6474
Naive Bayes,ROBERTA,under_sampling,0.5965,0.4422,0.3374,0.6416
Naive Bayes,DISTILBERT,under_sampling,0.5403,0.4104,0.3016,0.6416
Naive Bayes,TFIDF,over_sampling,0.6081,0.3462,0.2963,0.4162
Naive Bayes,BERT,over_sampling,0.5937,0.4198,0.3259,0.5896
Naive Bayes,ROBERTA,over_sampling,0.611,0.449,0.347,0.6358
Naive Bayes,DISTILBERT,over_sampling,0.572,0.4277,0.3208,0.6416
Naive Bayes,TFIDF,smote,0.6354,0.3429,0.3113,0.3815
Naive Bayes,BERT,smote,0.5735,0.3808,0.2984,0.526
Naive Bayes,ROBERTA,smote,0.5101,0.3885,0.282,0.6243
Naive Bayes,DISTILBERT,smote,0.5605,0.3863,0.2963,0.5549
